"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","UI","2","Проверка изменения денежной единицы","0","0","","0"
"0","UI","0","Тестирование функционала корзины","2","0","Удаление товара из корзины","0"
"0","UI","1","Тестирование функционала корзины","1","0","Добавление товара в корзину","0"
"0","UI","0","Заполнение регистрации","1","0","Регистрация","0"
"0","UI","0","Проверка страниц навигационной панели","1","0","Проверка открытия страницы New Products","0"
"0","UI","2","Тестирование функционала корзины","0","0","Увеличение количества товаров в корзине","0"
"0","UI","0","Тестирование страницы Affiliate","1","0","Проверка заполнения полей формы Affiliate","0"
"0","UI","2","Тестирование функционала поиска","1","0","Проверка поиска товара","0"
"0","UI","0","Тестирование страницы Delivery","1","0","Проверка открытия страницы Delivery","0"
"0","UI","1","Проверка страниц навигационной панели","0","0","Проверка открытия страницы ShopHome","0"
"0","UI","0","Проверка заголовка главной страницы","1","0","Проверка титла ","0"
